1,A Day in the Life,The Beatles,26 May 1967,Art Rock,4.74,7000
2,Starless,King Crimson,6 October 1974,Progressive Rock,4.75,5000
3,"""Heroes""",David Bowie,23 September 1977,Art Rock,4.75,4000
4,There Is a Light That Never Goes Out,The Smiths,16 June 1986,Jangle Pop,4.72,6000
5,Strawberry Fields Forever,The Beatles,17 February 1967,Psychedelic Pop,4.73,6000
6,Shine On You Crazy Diamond (1-5),Pink Floyd,12 September 1975,Progressive Rock,4.71,9000
7,Helpless Child,Swans,22 October 1996,Post-Rock,4.73,4000
8,Paranoid Android,Radiohead,26 May 1997,Alternative Rock,4.68,13000
9,"Sing About Me, I'm Dying of Thirst",Kendrick Lamar,22 October 2012,Conscious Hip Hop,4.70,9000
10,Once in a Lifetime,Talking Heads,8 October 1980,New Wave,4.71,7000
11,Life on Mars?,David Bowie,17 December 1971,Piano Rock,4.73,4000
12,21st Century Schizoid Man (Including 'Mirrors'),King Crimson,10 October 1969,Progressive Rock,4.70,9000
13,How to Disappear Completely,Radiohead,3 October 2000,Art Rock,4.68,11000
14,Ain't It Funny,Danny Brown,30 September 2016,Experimental Hip Hop,4.69,5000
15,The Sound,Swans,22 October 1996,Post-Rock,4.72,3000
16,When You Sleep,My Bloody Valentine,11 November 1991,Shoegaze,4.69,8000
17,Echoes,Pink Floyd,5 November 1971,Progressive Rock,4.72,5000
18,Starman,David Bowie,14 April 1972,Glam Rock,4.70,6000
19,Marquee Moon,Television,8 February 1977,Art Rock,4.71,4000
20,Weird Fishes / Arpeggi,Radiohead,10 October 2007,Art Rock,4.67,11000
21,All Caps,Madvillain,23 March 2004,Abstract Hip Hop,4.69,6000
22,Farewell Transmission,Songs: Ohia,4 March 2003,Alt-Country,4.72,3000
23,Sleep,Godspeed You Black Emperor!,9 October 2000,Post-Rock,4.70,5000
24,Billie Jean,Michael Jackson,30 November 1982,Contemporary R&B,4.70,4000
25,Wesley's Theory,Kendrick Lamar,15 March 2015,Conscious Hip Hop,4.66,11000
26,LONG SEASON,Fishmans,29 September 1999,Neo-Psychedelia,4.88,4000
27,The Blacker the Berry,Kendrick Lamar,14 February 2015,Hardcore Hip Hop,4.66,11000
28,Katy Song,Red House Painters,24 May 1993,Slowcore,4.72,2000
29,When the Sun Hits,Slowdive,1 June 1993,Shoegaze,4.69,5000
30,The Glow Pt. 2,The Microphones,11 September 2001,Slacker Rock,4.70,5000
